Período,Factura,Fecha Emisión,Fecha Suspensión,Fecha Último Pago,Fecha Inicio,Fecha Final,# Días,Lectura Ant,Lectura Act,Consumo M3,Valor M3,Factor Corrección,Valor $ Gas,Cargo Fijo $,Contrib/Sub$,Brilla $,Ajustes $,Valor Factura,Fecha Suspensión,Cupo Brilla,Estado Revisión,Observación Lectura
ENE-2024,,,,,23-nov-2023,23-dic-2023,"30,00",625,625,0,,"0,9811",0,3.499,700,0,0,4.199,13-ene-2024,10.700.000,Al día,Normal
FEB-2024,,,,,23-dic-2023,23-ene-2024,"31,00",625,625,0,,"0,9827",0,3.511,702,0,0,4.213,13-feb-2024,10.700.000,Al día,Normal
MAR-2024,,,,,23-ene-2024,23-feb-2024,"31,00",625,625,0,,"0,9824",0,3.522,704,0,0,4.226,13-mar-2024,10.700.000,Al día,Normal
ABR-2024,,,,,23-feb-2024,23-mar-2024,"30,00",625,625,0,,"0,9812",0,3.550,710,0,0,4.260,11-abr-2024,10.700.000,Al día,Normal
MAY-2024,,,,,23-mar-2024,24-abr-2024,"32,00",625,625,0,,"0,9812",0,3.584,717,0,0,4.301,15-may-2024,10.700.000,Al día,Normal
JUN-2024,,,,,24-abr-2024,24-may-2024,"30,00",625,625,0,,"0,9812",0,3.605,721,0,0,4.326,17-jun-2024,10.000.000,Al día,Normal
JUL-2024,,,,,24-may-2024,25-jun-2024,"32,00",625,625,0,,"0,9812",0,3.622,724,0,0,4.346,15-jul-2024,,Al día,Normal
AGO-2024,,,,,25-jun-2024,25-jul-2024,"30,00",625,625,0,,"0,9774",0,3.633,727,0,0,4.360,14-ago-2024,,Al día,Normal
SEP-2024,,,,,25-jul-2024,26-ago-2024,"32,00",625,630,5,"2.539,00","0,9772",12.695,3.640,3.267,0,0,19.602,14-sept-2024,,Al día,Normal
OCT-2024,,,,,26-ago-2024,25-sept-2024,"29,00",630,632,2,"2.483,00","0,9775",4.966,3.643,1.722,0,0,10.331,15-oct-2024,5.850.000,Al día,Normal
NOV-2024,,,,,25-sept-2024,25-oct-2024,"31,00",632,643,11,"2.508,00","0,9784",27.588,3.638,6.245,0,0,37.471,14-nov-2024,5.850.000,Al día,Normal
DIC-2024,,,,,25-oct-2024,25-nov-2024,"31,00",643,652,9,"2.711,00","0,9789",24.399,3.642,5.608,0,0,33.649,15-dic-2024,5.850.000,Al día,Normal
ENE-2025,,,,,25-nov-2024,24-dic-2024,"29,00",652,663,12,"2.569,42","0,9811",30.833,3.633,6.893,0,0,41.359,14-ene-2025,5.850.000,Al día,Normal
FEB-2025,,,,,24-dic-2024,24-ene-2025,"31,00",663,672,9,"2.604,00","0,9811",23.436,3.638,5.415,0,0,32.489,17-feb-2025,5.850.000,Al día,Normal
MAR-2025,,,,,24-ene-2025,24-feb-2025,"31,00",672,680,8,"2.896,00","0,9818",23.168,3.650,5.364,0,0,32.182,16-mar-2025,5.850.000,Al día,Normal
ABR-2025,,,,,24-feb-2025,25-mar-2025,"29,00",680,684,4,,,,,,,,32.182,,,,
MAY-2025,,,,,25-mar-2025,24-abr-2025,"30,00",684,684,0,,"0,9781",0,3.717,743,0,0,4.460,15-may-2025,8.600.000,Al día,Normal
JUN-2025,,,,,24-abr-2025,26-may-2025,"32,00",684,684,0,,"0,9764",0,3.732,746,0,0,4.478,16-jun-2025,8.600.000,Al día,
JUL-2025,,,,,26-may-2025,25-jun-2025,"30,00",684,684,0,,,0,,,,,4.502,,,,
AGO-2025,,,,,25-jun-2025,25-jul-2025,"30,00",684,684,0,,"0,9757",0,3.758,752,0,0,4.511,14-ago-2025,8.600.000,Al día,Normal
SEP-2025,,,,,25-jul-2025,25-ago-2025,"31,00",684,685,1,"3.007,00","0,9757",3.007,3.758,1.353,0,0,8.119,13-sept-2025,8.600.000,Al día,Normal
OCT-2025,,,,,25-ago-2025,26-sept-2025,"32,00",685,695,11,"2.971,00","0,9765",32.681,3.764,7.289,0,0,43.734,20-oct-2025,8.600.000,Al día,Estimado por Desviación
NOV-2025,,,,,25-ago-2025,24-oct-2025,"60,00",695,703,8,"2.191,25","0,9775",17.530,3.766,4.260,0,0,25.556,20-nov-2025,,Al día,Normal
DIC-2025,,,,,24-oct-2025,25-nov-2025,"32,00",703,713,10,"2.870,00","0,9775",28.700,3.774,6.495,0,0,38.969,21-dic-2025,8.600.000,Al día,Normal
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Valor Factura,Fecha Suspensión,Cupo Brilla,Estado Revisión,Observación Lectura
,,,,,,,,,,,,,,,,,,38.513,14-feb-2026,,Al día,Normal